Abstract,Prob_NotPositive,Prob_Positive,Prediction,Target
"Oat (Avena sativa L.) beta-glucan is bound tightly to other components of the endosperm cell wall, which means that beta-glucan extraction processes are complex and involve many different stages. Subcritical-water extraction (SWE) has emerged as a promising method for extracting beta-glucan under high temperature and pressure conditions. This study investigated the efficiency of the SWE of beta-glucan from oat flour. The yield of beta-glucan was optimized under the following conditions: extraction temperature of 200 degrees C, solvent pH of 4.0, extraction time of 10 min, and particle size of 425-850 mu m. The extraction yield under the optimal condition was 6.98 +/- 1.17 g/100 g oat flour, which was more than twofold higher than when using hot-water extraction at 60 degrees C for 3 h. beta-glucan degradation to 5-hydroxymethyl-2-furaldehyde was increased under high-temperature conditions. SWE is a feasible alternative for extracting beta-glucan in a single-step process, and could be developed into an effective industrial process.",0.2913396954536438,0.708660364151001,1,1
"The physiological functionality of cereal beta-glucan (beta-glucan) has been mainly attributed to its ability to form viscous solutions in the gastrointestinal (GI) tract. The viscosity is dependent on the concentration, extractability and molecular weight of beta-glucan, and to enable maximal functionality, these factors should therefore be acknowledged and their role in the physiological functionality of cereal beta-glucan further studied. An in vitro GI simulation with separate oral, gastric and small intestine phases was used to model the state of beta-glucan from various oat products in the GI tract. A rather large variation (from 26% to 99%) was observed in the extractabilities between product categories, with the highest extractabilities observed in spoonable products. The viscosities also varied highly within categories. When the comparison was done at similar concentration levels, the highest viscosities were observed in the products produced through dry processes, and moisture content during processing was suggested to be essential to the extent of beta-glucan degradation. The viscosity in samples that were likely to exhibit enzymatic activity was shown to be rather low, and thus the physiological functionality of beta-glucan may be threatened if the product also contains grain ingredients other than kiln-dried oat. Clear differences were observed in the functionality of beta-glucan in the GI tract model depending on a product type, and these were explained by differences in ingredients and processes. However, further studies are needed to specify the influence of each factor and to clarify the factors determining the physiological functionality of beta-glucan in food products.",0.8934776782989502,0.10652238130569458,0,0
"Due to their high content of beta-glucan, the consumption of oat products can contribute to a healthy diet. Roasting may improve sensory properties but could also affect the nutritional value of oat products. Therefore, the aim of the present study was to analyse the impact of different roasting conditions (140-180 degrees C, approx. 20 min) on sensory quality, health-related compounds (e.g. acrylamide, beta-glucan) and viscosities of oat kernels and flakes. Roasting resulted in oat flakes with improved sensory properties. Acrylamide formation increased with higher roasting temperatures in kernels, thin and thick flakes. Contents of fat, protein, starch and beta-glucan were not affected by roasting, whereas dietary fibre fractions were marginally modulated. Viscosities were significantly reduced with increasing roasting temperatures. The results indicate that roasting up to 160 degrees C is a processing technique with potential to generate oat products with improved sensory quality and favourable nutritional composition.",0.008793610148131847,0.9912063479423523,1,1
"Solid-state fermentation (SSF) is the preferred method of enhancing the phenolic content of oats, while scientific optimization for improving specific phenolic compounds is limited. In this study, sequential targeting of phenolic conversion in simultaneous hydrolysis and fermentation (SHF) of oats was investigated. The results revealed that SHF with adding cellulase at 0, 6 and 12 days could increase the total phenolic content by 4.4%, 67.8% and 59.1%, respectively, over that of SSF. The a-amylase and CMCase activity were highly correlated with the soluble and insoluble phenolic contents in SHF (-6 and -12) systems (r > 0.8, p < 0.05). Interestingly, the content of phenolic fraction, such as ferulic acid, was up-regulated, whereas sinapic acid was down-regulated. These results indicated that the phenolic conversion occurred in SHF, resulting in variation in DPPH and ABTS(+) radical scavenging abilities. This research provided metabolic understanding of the optimization of phenolic compounds to increase the functional ingredient of oats.",0.08755332231521606,0.9124466776847839,1,0
"In early-weaning programs, dietary effects on calf rumen development have been studied extensively, but very little information is available about the effects of a solid diet on hepatic metabolism in preweaned dairy calves. The objective of this experiment was to determine the effect of physical form of oats in calf starter on the expression of key hepatic gluconeogenic, beta-oxidation, and acute phase protein genes in preweaned dairy calves. Samples were analyzed from 3 experiments that fed either ground or whole oats in calf starters. Briefly, 7 calves were slaughtered at 5 wk of age in experiment 1, 6 were slaughtered at 6 wk in experiment 2, and 7 were slaughtered at 7 wk in experiment 3, and liver tissue was collected for gene expression analysis. Calves from experiments 1 and 2 were cannulated, and their rumen pH and volatile fatty acids were measured during treatment periods. The mRNA expression of gluconeogenic enzymes pyruvate carboxylase (PC), cytosolic and mitochondrial phosphoenolpyruvate carboxykinase (PCK1 and PCK2), fatty acid oxidation enzyme carnitine palmitoyltransferase I (CPT1), and positive acute phase protein haptoglobin (HPT) was measured by real-time quantitative reverse-transcriptase PCR. Expression of RPT was greater in calves fed whole oats than in calves fed ground oats; however, PC, PCK1, PCK2, and CPT1 were not affected by the physical form of oats. All enzymes (PCK1, PCK2, HPT, and CPT1) except PC were affected by experiment; PCK1 and CPT1 had greater expression in experiment 2 than in experiments 1 and 3. Expression of PCK2 was similar in experiments 2 and 3 but greater than experiment 1. Expression of HPT was similar in experiments 1 and 2 but greater than experiment 3. The mRNA expression of enzymes PCK1, PCK2, and CPT1 differed between experiments 1 and 2 and was negatively correlated with rumen propionate and butyrate but had a positive relationship with rumen acetate. Similarly, rumen pH was different in experiments 1 and 2, averaging 5.69 in experiment 1 and 4.81 in experiment 2, and there was a negative correlation between in NA expression of ratelimiting gluconeogenic PCK1, PCK2, and beta-oxidation CPT1 enzymes and rumen pH of calves in experiments 1 and 2. We concluded that the physical form of oats in calf starter did not affect gene expression of gluconeogenic and beta-oxidation enzymes in preweaned dairy calves. However, lower rumen pH may be related to the upregulation of these enzymes.",0.6555350422859192,0.3444649875164032,0,0
"This study was carried out to investigate storage-associated changes in the fatty acid profile (with GC and H-1-NMR techniques) of oat-based gluten-free cookies prepared with different fats: margarine (MAR), butter (BUT), lard (LAR), refined palm oil (RPO), refined palm oil with stearin (RPOS), and hydrogenated palm oil (HPO). GC analysis indicated that palmitic and stearic acid were the predominant saturated fatty acids (SFAs), regardless of the type of fat used. cis-Oleic acid represented the major monounsaturated fatty acid (MUFA), while cis-linoleic acid was the most abundant polyunsaturated fatty acid (PUFA). After 6 months of storage, a significant decreasing trend in SFA concentration was observed for LAR and RPOS cookies, while a decrease in MUFA concentration was observed only for HPO cookies. In fresh cookies and in cookies stored for 6 months, the contents of SFA, MUFA, and PUFA determined by GC were positively correlated with those determined by H-1-NMR (r > 0.90).",0.7973520755767822,0.20264793932437897,0,0
"The beneficial effect of agave fructans on health has been demonstrated gaining popularity as a new prebiotic and functional food ingredient, however, their role as an ingredient and their technological properties is scarcely reported. This work studied the structural and quality features of doughs and cookies added with agave fructans ""AF"" and compared to systems added with chicory fructans ""CF"" or without fructans (""WF"") added, to analyse the effect of the chemical structure due to the fructan-type added. For doughs, it was found that AF lowered the water adsorption, causing a short development time and the highest stability during kneading. The texture profile analysis and rheological tests revealed that AF increased springiness and cohesiveness. For cookies, the crumb and lightness were evaluated using a computer vision system. Among the samples, AF promoted a darker and shiny crust and a more homogeneous and compact microstructure. X-ray diffraction analysis demonstrated that AF had the highest values of crystallinity. In order to provide more information about the distribution of carbohydrates (aldoses and ketoses) and gluten proteins in the cookies, a method was developed to specifically stain these molecules, and it successfully described the effect of the fructans incorporated into doughs and cookies. Results from confocal laser scanning microscopy illustrated differences in the distribution of the biopolymers stained. This research provided an improved understanding of the AF addition on the technological properties and the structure-functionally relationship of doughs and cookies, beyond the nutraceutical applications attributed to the AF.",0.06441241502761841,0.9355875253677368,1,1
"Many pesticides are used for pest control during oat production and storage, making necessary to employ multiclass methods for pesticide residue determination. In this work, an efficient QuEChERS method was established for multiresidue determination of 60 pesticides in oats by liquid chromatography with tandem mass spectrometry (LC-MS/MS). Different sorbents, such as chitosan, Forisil (R), C18, PSA, Supel QuE Z-Sep+, and EMR-Lipid were evaluated for cleanup by dispersive solid-phase extraction (d-SPE). The original QuEChERS method had the best performance and the biosorbent chitosan presented similar results to the other conventional sorbents evaluated and being an efficient and low-cost biodegradable material was chosen for the cleanup step. The method presented adequate accuracy and precision using blank samples spiked between 5 and 100 mu g kg(-1), with recovery from 70 to 120% and RSD <20% for all 60 pesticides and limits of quantification of 5 <mu>g kg(-1) for almost all studied pesticides, with exception of triflumizole for which was 10 mu g kg(-1). The method was successfully applied in real samples proven to be a good option for routine analysis. Oat samples presented residues of azoxystrobin, metalaxyl, and thiamethoxam.",0.7429125905036926,0.2570873498916626,0,1
"Several processing techniques can be used to slow the degradation rate in the rumen and thus provide more bypass crude protein (CP) and starch to the small intestine. The aim of this study was to evaluate the effects of processing methods on cool-season adapted oat grain compared with dry-rolled barley grain, when fed as total mixed ration (TMR) for lactating dairy cows. Eight lactating Holstein cows were used in a replicated 4 x 4 Latin square design with 21-d periods and fed TMR with 1 of 4 treatments: dry-rolled oats, steam-flaked oats, pelleted oats, or dry-rolled barley. Dry matter intake (DMI) ranged from 28.19 to 31.61 kg/d and was lower for rolled oats compared with pelleted oats. Despite the nutrient intake being higher for cows fed pelleted oats, those fed rolled oats had the highest milk production and milk fat percentage (49.23 kg/d and 4%, respectively). Ruminal fermentation characteristics were similar across treatments, with only significant differences in concentrations of acetate (lowest for pelleted oats) and total short-chain fatty acids (highest value for rolled barley) and a lower pH for flaked oats at the 9-h and 12-h points. Dietary treatments did not affect total-tract digestibility of dry matter, organic matter, or CP; digestibility of starch was the lowest for rolled barley (89.04%). Measured blood metabolites, urea, glucose, and beta-hydroxybutyrate, were not affected by dietary treatment. Purine derivatives and microbial N supply were also unaffected by dietary treatments. Cows fed flaked oat-based TMR showed the lowest N excretion in milk; however, the lack of difference between diets with regard to urinary N and fecal N excretion resulted in no significant changes in N balance between diets. Therefore, rolled oats allow cows to have higher milk production with lower DMI compared with all other treatments in this study.",0.09234381467103958,0.9076562523841858,1,0
"Protein-enriched gluten-free pasta was prepared from oat starch-rich endosperm (SRE), which was substituted with different proportions of oat protein concentrate (OPC) and/or faba protein concentrate (FPC) fractions in order to obtain a similar protein content (18% and 35%). Accordingly, the health claims 'source of protein' and 'high protein' were achieved. Pasta with OPC and FPC had lower optimal cooking time (8 and 6.3 min), cooking loss (6% and 10.2% dm) and water absorption (152% and 147%) than control SRE pasta (9.3 min; 12.3% dm and 185%). Addition of protein concentrates produced an increase in hardness and chewiness of spaghetti. The glycaemic index of pasta was lowered by the addition of protein ingredients, the lowest value being achieved with FPC. In vitro protein digestibility of pasta increased up to 3.5% for OPC and up to 7.1% in case of FPC addition. The most protein-digestible pasta was that with FPC addition to reach 35% protein content.",0.13439297676086426,0.8656070232391357,1,1
"The aim of this study was to evaluate the probiotic potential and the viability in fermented oat dairy beverage of Lactobacillus curvatus isolate P99. Probiotic potential was assessed through the survival in simulated gastrointestinal tract conditions, autoaggregation, coaggregation, and hydrophobicity capacity and antimicrobial activity. The safety aspects of the isolate were evaluated for application in food, and these were determined by phenotypic and genotypic tests. Isolate P99 was able to survive in simulated gastrointestinal tract conditions and showed hydrophobicity, autoaggregation, and coaggregation with Listeria monocytogenes. Moreover, the isolate and its cell free supernatant showed antimicrobial activity against Gram-positive and Gram-negative microorganisms. L. curvatus P99 showed in vitro probiotic potential, fulfilled safety aspects, and remained viable for 35 days in fermented oat dairy beverage stored at 4 degrees C. Moreover, probiotic fermented oat dairy beverage demonstrated high acceptability. Therefore, isolate P99 can be considered a promising microorganism for the manufacture of probiotic foods. Practical applications Probiotics are microorganisms capable of providing health benefits to the host. However, isolates with probiotic potential from foods, when used as adjuvant cultures in foods, promote desirable sensory attributes and ensure microbiologically safe food. In this study, we found that Lactobacillus curvatus P99 presented probiotic potential and remains viable for 35 days when used in the production of fermented oat dairy beverage. Therefore, isolate P99 can be considered a promising microorganism for the manufacture of probiotic foods.",0.03742292523384094,0.9625771045684814,1,1
"Purpose The enrichment of bread with non-digestible prebiotic ingredients may exert health-promoting effects and provide healthier food choices for those suffering from metabolic diseases, including obesity and diabetes. The purpose of this study was to investigate the effects of ss-glucan and resistant starch incorporation on the glycemic index (GI) and glycemic load (GL) of white bread. Design/methodology/approach Seven different formulations of prebiotic bread were produced using different proportions of ss-glucan (0.8, 1 and 1.2 per cent), resistant starch (5.5, 8 and 10.5 per cent) and the combination of resistant starch and ss-glucan in a ratio of 4:0.5. Findings The GI and GL of the prebiotic bread prepared with 1 per cent ss-glucan (w/w) were 55.7 and 7.8, respectively, whereas those of the prebiotic bread prepared with 8 per cent resistant starch (w/w) were 64.8 and 8.42, respectively, with both breads having significantly lower GI and GL values than the control (P < 0.05). It was concluded that the incorporation of 1 per cent ss-glucan may be beneficial in producing prebiotic bread with both low GI and low GL. Originality/value Although white bread is a main food source in human diet, its high GI and GL make it an unhealthy food choice. The incorporation of ingredients with prebiotic effects, such as ss-glucan and resistant starch, can improve the nutritional value of this product by lowering its GI and GL.",0.004689276684075594,0.9953107237815857,1,1
"A growing interest in development of milk desserts with good nutritional and rheological properties can be observed. A good and stability rheological as well as nutritional properties of such desserts can be provided by applying suitably composed gum mixtures. In this work, the effect of 0.1% kappa-carrageenan addition on the rheological properties of based-milk desserts with different oat gum concentrations (0.1, 0.3 and 0.5%) was investigated. All milk desserts tested in presented study showed a time dependent and shear-thinning flow behavior. The mechanical spectra were characterized by storage module (G') greater than loss module (G""), typical for viscoelastic materials such as gels and dispersions. The incorporation of 0.1% kappa-carrageenan into milk dessert with different oat gum concentrations allows to obtain stronger gel structure compared to milk dessert with separate oat gum addition. It can be also observed that desserts systems with the 0.1% kappa-carrageenan had more stable viscoelastic properties. Moreover, the use the kappa-carrageenan addition caused an increase in consistency coefficient (K) and decreased in n-value for Ostwald de Waele rheological model. Combined addition of oat gum and carrageenan allows to obtain milk dessert with stronger texture. The hardness of milk desserts range from 0.32 to 0.49 N for desserts without kappa-carrageenan addition and from 0.513 to 0.557 N for desserts with kappa-carrageenan. The high synergistic effect of composed gum mixtures on rheological properties of milk dessert occurs at 0.1% oat gum and 0.1% kappa-carrageenan concentration.",0.04245270788669586,0.9575472474098206,1,1
"Ochratoxin A (OTA) is one of the most important mycotoxins due to its widespread occurrence and toxicity, including nephrotoxicity and potential carcinogenicity to humans. OTA has been detected in a wide range of agricultural commodities and their processed products such as infant cereals and breakfast cereals. Extrusion processing, which is widely used in the manufacture of infant and breakfast cereals, may reduce mycotoxin levels to varying degrees. Hence, the effects of extrusion cooking process on the stability of OTA in spiked (100 mu g/kg) oat flakes and rice flour was investigated by using a laboratory-scaled twin-screw extruder. In addition, the effect of twin-screw extrusion and addition of baking soda (0, 0.5, and 1.0% weight of total solids) on the reduction of OTA in oats and rice was investigated. The reductions of OTA in the artificially contaminated oat flakes upon extrusion cooking were in the range of 40-43% whereas the reductions in rice flour ranged from 78 to 82%. The reductions of OTA during extrusion with added baking soda were up to 65% and 72% in oats and rice, respectively. These results suggest that OTA in rice and oats may be reduced significantly by extrusion cooking process, which can be applied to commercial production of infant cereals and breakfast cereals. In addition, baking soda may also help to reduce OTA levels in oats during thermal processing.",0.1256430596113205,0.8743568658828735,1,1
"In general, the interest in food that contains a reasonable amount of plant protein is steadily increasing. As a consequence, products with pleasant texture and taste ensuring a high consumer acceptance are needed. The aim of the present study was to develop and characterize structural differences and organoleptic impressions of lactic acid fermented, oat-based gels which could serve as plant protein enriched, non-dairy yoghurt alternatives. Oat protein concentrate, a by-product of cereal processing, was used as plant protein source. It was shown that total solids content had the highest impact on rheological properties. All samples were described as soft fluid gels and their structure was dominated by the heat-induced gelation of starch. Within this mixed food system of starch and protein, swollen starch granules, protein aggregates and residual small fat droplets were embedded in a rough macromolecular network of leached amylose. They acted as filler and increased the rigidity (G') of the system. Native starch content determined the water holding capacity with an increase in water binding with increasing concentration. Overall, rheological characteristics were found to be strongly linked to the products' textural attributes which, in turn, determined consumer acceptability. For the purpose of product development, overall liking was influenced by the quantifiable sensory attributes - sweet, moist, soft, and smooth. Purchase intention, however, was positively influenced by the extrinsic attribute information (on oat protein enrichment). These data, in combination with the impact of the identified ingredients on product structure, are a valuable tool to improve product properties, consumer perceptions and product acceptability. To conclude, lactic fermented, oat-based gels can serve as a plant-based yoghurt-alternative that combines nutritional benefits with good textural properties.",0.0072783962823450565,0.9927216172218323,1,1
"The present study investigated the effects of proteins, lipids and beta-glucan in naked oat flour (NOF) on the in vitro digestibility of starch. The content of rapidly digested starch (RDS) increased, and the content of resistant starch (RS) decreased in NOF after removing the non-starch constituents. The estimated glycemic index (eGI) of starch in NOF increased after the removal of the non-starch constituents, with a decreasing order of naked oat starch (NOS) > de-beta-glucan flour > de-proteins flour > de-lipids flour > NOF. NOS was found to have an A-type crystalline pattern, but the removal of proteins or beta-glucan rendered NOS a V-type crystalline pattern. The relative crystallinity decreased after removing non-starch constituents. The in vitro digestibility was positively correlated with the short-range molecular order and negatively correlated with the relative crystallinity. These results clearly illustrate the effects of non-starch constituents on the low digestibility of naked oat.",0.48906847834587097,0.5109314918518066,1,1
"The process of maceration of oats is still little explored; however, this stage is of great importance for malting, because the moisture content required for the synthesis of enzymes in the germination phase influences the quality of the product obtained. This research aimed at studying the influence of different temperature of hydration of the URS CORONA oat grain on the kinetic and thermodynamic properties. Also, the composition and morphology of oat grain were evaluated. The physicochemical analyses resulted in contents of 9.96% protein, 4.60% lipids, and 40.8% starch. The hydration isotherms (10, 20, 25, and 35 degrees C) presented two hydration phases characterized by capillary forces (Phase I) and the diffusion phenomenon (Phase II). The adjustments of the Peleg model and Second Fick Law to data experiment were satisfactory. Results showed the mass transfer constants increased to temperature addition. Thermodynamic parameters showed that the maceration oat process presents lower activation energy; it is an exothermic and not spontaneous process. Practical Applications Kinetics model can provide information about the moisture in the oat grain during the soaking process with practical application to the starch, malt, and flour industries. Thermodynamic properties can be used to optimize grain processing parameters as time and temperature, and to reduce the maceration operation.",0.6824307441711426,0.3175692558288574,0,0
"The aim of the study was to investigate the occurrence and formation of peroxygenase catalysed non-volatile oxidised fatty acids (NVOFAs), especially epoxy and hydroxy fatty acids, which potentially provide off-flavours in oat. A method based on extraction of NVOFAs using accelerated solvent extraction and analysis by UHPLC-ELSD/MS was developed. Hydroxy and epoxy fatty acids from oleic and linoleic acids were present as major NVOFAs in non-heat treated (NHT) oat products, and the contents increased markedly during storage. In a controlled storage experiment, NVOFA contents in NHT oat flours increased to 1700-2000 mu g/g, whereas in heat-treated samples, only to 200-400 mu g/g. Epoxy fatty acids seemed to be the first products that occurred, followed by hydroxy fatty acids and minor NVOFAs. The formation of NVOFAs was related to lipase catalysed lipid hydrolysis and the formation of volatile lipid oxidation products. Inactivation of lipid degrading enzymes is crucial to producing stable oat products.",0.6654567718505859,0.33454325795173645,0,0
"Inadequate dietary fiber intake contributes to irregular bowel movements and may contribute to difficulty with defecation in children. Whole grain foods, such as oatmeal, may improve stool consistency and stool frequency in children; however, no studies have examined its effects. The purpose of this study was to investigate if 2 weeks of oatmeal consumption in children (ages 7-12 years) increases stool frequency, improves stool consistency, and gastrointestinal (GI) symptoms. In this single-arm intervention study, children who reported <= 5 bowel movements per week during screening, consumed two servings of instant oatmeal daily for 2 weeks. The primary outcome was stool frequency and secondary outcomes included stool consistency and GI symptoms. Participants recorded bowel movements daily, food intake, and GI symptoms during baseline and 2 intervention weeks. Photos of the children's stool were taken at three timepoints during the study to assess stool consistency. In total, 33 children (15 female and 18 male) completed the study. Linear mixed models were used to detect change between baseline and the intervention weeks and accounted for repeated measures within subjects. No statistical differences in stool frequency or consistency were observed between the intervention weeks vs. baseline; however, dietary fiber intake significantly increased during the 2 weeks of oatmeal consumption (P = .008). The addition of oatmeal to children's diets is an effective way to increase fiber consumption and may reduce some GI symptoms such as gas, straining, and feeling of incomplete evacuation. Trial identification number: NCT02868515.",0.00866593886166811,0.9913340210914612,1,1
"Purpose Beta-glucans are biologically active polysaccharides having antioxidant, immunomodulatory, and antiinflammatory properties. This study investigated the transcriptomic profile in peripheral blood of rats with LPS-induced enteritis, which were fed a diet supplemented with high- (G1) and low- (G2) molecular-weight oat beta-glucans. Methods Two-color rat gene expression microarrays were applied and the analysis was performed using a common reference design to provide easy means of comparing samples from various experimental conditions against one another. Common reference sample was labeled with cyanine 3 (Cy3) and investigated samples from each experimental group: C-G0 (control group fed semi-synthetic diet), LPS-G0 (LPS-challenged group fed semi-synthetic diet), LPS-G1 (LPS-challenged group fed G1 beta-glucan enriched diet), and LPS-G2 (LPS-challenged group fed G2 beta-glucan enriched diet) were labeled with cyanine 5 (Cy5). Each microarray was performed in quadruplicate. Statistical analysis was performed using one-way ANOVA and Tukey's HSD post-hoc test (p < 0.05). A multiple testing correction was performed using Benjamini and Hochberg False Discovery Rate < 5%. A quantitative real-time RT-PCR was performed to verify the expression of chosen transcripts. Results The microarray analyses revealed differentially expressed transcripts between: the LPS-G0 and the control groups: C-G0 (138 genes), the LPS-G1 and LPS-G0 groups (533 genes), and the LPS-G2 and LPS-G0 groups (97 genes). Several differentially expressed genes in the beta-glucan-supplemented groups encoded proteins belonging to TLR and NLR signaling pathways, as well as prostaglandin synthesis and regulation pathways. Both beta-glucans up-regulated the expression of Atg10, which belongs to the family of autophagy-related genes, suggesting a possible link between autophagy induction and beta-glucan supplementation. Conclusion The changes in gene expression observed in the peripheral blood indicate that oat beta-glucans exerted a protective effect in rats with an induced inflammatory state caused by LPS challenge. The greater number of differentially expressed genes was observed in group supplemented with G1 beta-glucan, pointing at the differences in the mode of action of high-and low-molecular-weight beta-glucans in the organism.",0.04990936815738678,0.9500906467437744,1,1
"This study investigated the in vitro digestive behavior of different processed oat products using a dynamic rat stomach and duodenum model. The changes in gastric emptying with respect to digestion time, glucose concentration, estimated glycemic index (GI), rheological and microstructural properties of the gastric and duodenal digests were determined. The results showed that the digesta viscosity of oatmeal (OM), oat wowo (OW), oat paste (OP) and oat rice (OR) decreased faster than unprocessed oat (UO) during digestion. Glucose concentration and gastric emptying increased with decreasing viscosity of oat products digesta at each digestion time. OR and OP had a higher gastric emptying rates and glucose concentration as compared to UO, OM and OW. The estimated GI of UO, OM and OW were lower than 55 and belonged to low GI food. The porous structures of oat products observed indicated that thermal treatments can change the digestion characteristics of oat products.",0.4594756066799164,0.5405243635177612,1,1
"The aim of this study was to investigate the combined effects of mulberry leaf and oat bran on type 2 diabetes. Co-treatment of diabetic mice with mulberry leaf and oat bran for 28 days led to lower glucose level and better glucose tolerance capacity than either mulberry leaf or oat bran treatment. It was found that this combination resulted in more significant inhibitory effects on alanine transaminase and aspartate transaminase activities. Meanwhile, the enhancement on insulin receptor and glucokinase expressions and down-regulation on pyruvate carboxylase, phosphoenolpyruvate carboxykinase, and pyruvate dehydrogenase complex kinase expressions were also observed. Additionally, the combination increased the gut microbiota diversity, and reshaped the gut microbiota structure. Based on the above data, it is more feasible to affirm that the combined supplementation of mulberry leaf and oat bran is a potential adjuvant on the treatment of diabetes mellitus.",0.006124658510088921,0.9938753247261047,1,1
"BACKGROUND During the industrial production of beta-glucan, a protein-rich fraction remains as a by-product. Recovery of this protein as oat protein concentrate (OPC) results in a source of cereal protein for food and improves the overall economy of the process. In this study, a yoghurt-type product is developed by lactic acid fermentation of an OPC suspension after subjection to heat treatment to assure starch gelatinization. RESULTS In detail, the process of yoghurt production involved an initial heating step to 90 degrees C, followed by 24 h fermentation with a starter culture consisting of Lactobacillus delbrueckii subsp. bulgaricus und Streptococcus thermophilus. The resulting yoghurt-type product was mildly sour (pH 4.2) with a certain amount of lactic acid (3.3 +/- 0.2 g kg(-1)) and contained 4.9 x 10(6) cfu g(-1) lactobacillus after 24 h fermentation. Scanning electron microscopy revealed a porous network presumably built up from the gelatinized starch fraction containing aggregated structures, between which were assumed to be aggregated oat proteins. Moreover, to a limited extent, proteolysis occurred during fermentation. Thus some of the proteolytic enzymes present in the yoghurt culture cleaved oat protein and released peptides. However, the effect on essential amino acids was small. CONCLUSION The results of this study provide a deeper knowledge into the role of starch and protein in fermented OPC yoghurts. The structure of fermented OPC verifies the applicability of oat protein as an alternative source for yoghurt-type products. (c) 2019 Society of Chemical Industry",0.009478825144469738,0.9905211925506592,1,1
"The biggest challenge in the production of gluten-free baked products is creating a structure without gluten while maintaining physicochemical and sensory properties. The aim of this study was to evaluate the possibility of applying oat beta-glucan as the thickening and structure-making agent instead of xanthan (control sample), due to its pro-health technological properties, in yeast-leavened gluten-free cake. Thus, high-in-beta-glucan oat fibre powder was incorporated into cake formulations as 5, 10, 15 and 20% replacement of rice or corn flour. The complex analysis of physicochemical and sensory properties was conducted, where texture and rheological aspects were the most important. An analysis of the correlation between rheological and physical properties was also conducted. Corn and rice cakes differed, but the results showed the increase of beta-glucan, total dietary fibre, springiness, cohesiveness, storage (G ') and loss (G '') modulus and the decrease of firmness and lightness. Improvement of porosity and volume was also noticed. Significant correlation was observed among G ', G '', specific volume and texture components. Accelerated texture changes were noticed after 24 h of storage. To sum up, it is justified to incorporate oat fibre into gluten-free baked products, both to increase nutritional value and improve cake structure.",0.041235219687223434,0.9587647914886475,1,1
"The control of Salmonella in low water activity foods poses a challenge for the food industry because of its thermal resistance. The use of surrogate bacteria in a food plant is considered a critical component to validate processing steps. The objective of this study was to evaluate the use of Pediococcus acidilactici ATCC 8042, a generally recognized as safe bacterium (GRAS), as potential surrogate for Salmonella in commercial toasted oats cereal (TOC) and peanut butter. P. acidilactici was compared to a five-serovar cocktail of Salmonella and Enterococcus faecium NRRL-B2354, separately. Cultures were inoculated into TOC and thermal kinetic parameters (delta, beta) were determined at 80, 85, 90, and 95 degrees C using the Weibull model. In peanut butter, delta and beta parameters were obtained at 63, 68, 73, and 77 degrees C. In TOC, the delta values (initial decimal reduction time) of P. acidilactici were 63 and 7 min at 80 and 95 degrees C, respectively, and at all four temperatures they were not significantly different from delta values of E. faecium. The delta value of Salmonella at 80 degrees C (139 min) was two-fold greater than the other two bacteria's values (p < 0.05). In peanut butter, delta values of P. acidilactici ranged from 31 min at 63 degrees C to 2.6 min at 77 degrees C, and at all temperatures they were not significantly different from E. faecium's delta values. In peanut butter, all Salmonella cocktail's delta values were significantly smaller than P. acidilacticfs with values of 2 min at 63 degrees C and 0.4 min at 77 degrees C. These results indicated that P. acidilactici was as heat tolerant as E. faecium in these food matrices. However, the thermal inactivation kinetic parameters suggested that P. acidilactici can only be considered a Salmonella surrogate in TOC at temperatures above 85 degrees C. Because of its greater thermal tolerance in peanut butter, P. acidilactici may be used as Salmonella surrogate if an additional safety factor is recommended.",0.580613911151886,0.4193861186504364,0,1
"Background and objectives Compared to wheat bran, less information on physicochemical characteristics and health-related effects is available for bran from other cereals and results are often confounded by residual endosperm. Therefore, the objective of this study was to compare structure and composition of endosperm-depleted bran of wheat, rye, oat, and maize, and link these characteristics to fecal fermentation characteristics. Findings Compared to wheat, endosperm-depleted rye bran contained twice the amount of fructan (8.0% dm) and water-extractable arabinoxylan (1.4% dm). Oat bran had a more open structure and was rich in (1,3:1,4)-beta-glucan (17.0% dm). For rye and oat bran, and to a lesser extent wheat bran, fermentation with fecal microbiota resulted in short chain fatty acid production, with full metabolization of fructan and beta-glucan after 2 and 24 hr of fecal fermentation, respectively. For maize bran, a less accessible structure containing over 70% of arabinoxylan and cellulose was coupled to a lower degree of fecal fermentation. Conclusion Removal of endosperm as a confounding factor when studying bran properties allowed us to obtain more accurate estimates of the composition, structure, and some physicochemical characteristics of bran of wheat, rye, oat, and maize. Bran fecal fermentation characteristics were mainly determined by composition and to a lesser extent by accessibility of the structure. Significance and novelty This is the first study that compares composition, structure, and fecal fermentation characteristics of wheat, rye, oat, and maize bran, after eliminating endosperm as a confounding factor. The knowledge obtained will allow a more goal-oriented choice of bran type for incorporation into food products, depending on targeted physiological effects and nutritional impact.",0.16489066183567047,0.835109293460846,1,0
